131,126
519,568
946,995
1374,1355
2644,2659
3510,3501
3951,3945
4370,4384
5241,5236
6051,6051
6481,6461
6908,6906
7318,7314
7757,7766
9051,9038
9901,9890
10301,10313
10732,10771
11159,11164
11950,11956
12375,12366
12767,12774
13185,13185
13598,13587
14003,14023
14441,14463
14841,14842
15250,15243
15653,15667
16084,16093
16484,16486
17301,17293
17724,17725
18145,18149
18557,18544
18967,18964
19372,19388
19803,19799
20204,20205
20625,20618
21022,21028
21433,21454
22249,22257
22606,22605
23003,23013
23407,23394
23823,23803
24209,24200
24599,24616
25806,25807
26589,26594
27391,27393
27777,27787
28169,28193
